,title,artist
1,Flowers,Miley Cyrus
2,Kill Bill,SZA
3,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
4,Anti-Hero,Taylor Swift
5,Unholy,Sam Smith & Kim Petras
6,Die For You,The Weeknd
7,I'm Good (Blue),David Guetta & Bebe Rexha
8,Rich Flex,Drake & 21 Savage
9,As It Was,Harry Styles
10,Just Wanna Rock,Lil Uzi Vert
11,Made You Look,Meghan Trainor
12,Golden Hour,JVKE
13,Under The Influence,Chris Brown
14,Something In The Orange,Zach Bryan
15,Cuff It,Beyonce
16,Rock And A Hard Place,Bailey Zimmerman
17,Thank God,Kane Brown With Katelyn Brown
18,You Proof,Morgan Wallen
19,Lavender Haze,Taylor Swift
20,Bad Habit,Steve Lacy
21,Thought You Should Know,Morgan Wallen
22,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
23,Escapism,RAYE Featuring 070 Shake
24,"Going, Going, Gone",Luke Combs
25,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
26,Calm Down,Rema & Selena Gomez
27,Last Night,Morgan Wallen
28,Until I Found You,Stephen Sanchez
29,Wait In The Truck,HARDY Featuring Lainey Wilson
30,The Kind Of Love We Make,Luke Combs
31,I Like You (A Happier Song),Post Malone Featuring Doja Cat
32,Shirt,SZA
33,Heart Like A Truck,Lainey Wilson
34,Wait For U,Future Featuring Drake & Tems
35,Snooze,SZA
36,Sure Thing,Miguel
37,Bebe Dame,Fuerza Regida X Grupo Frontera
38,Players,Coi Leray
39,Tomorrow 2,GloRilla & Cardi B
40,Love Again,The Kid LAROI
41,She Had Me At Heads Carolina,Cole Swindell
42,Dawns,Zach Bryan Featuring Maggie Rogers
43,Whiskey On You,Nate Smith
44,Super Freaky Girl,Nicki Minaj
45,Nobody Gets Me,SZA
46,Unstoppable,Sia
47,What My World Spins Around,Jordan Davis
48,Sunroof,Nicky Youre & dazy
49,I Ain't Worried,OneRepublic
50,About Damn Time,Lizzo
51,Lift Me Up,Rihanna
52,Que Vuelvas,Carin Leon X Grupo Frontera
53,Low,SZA
54,One Thing At A Time,Morgan Wallen
55,Tennessee Orange,Megan Moroney
56,Bloody Mary,Lady Gaga
57,What He Didn't Do,Carly Pearce
58,I Wrote The Book,Morgan Wallen
59,Freestyle,Lil Baby
60,Handle On You,Parker McCollum
61,Everything I Love,Morgan Wallen
62,Wild As Her,Corey Kent
63,Forget Me,Lewis Capaldi
64,Growin' Up And Gettin' Old,Luke Combs
65,Here With Me,d4vd
66,The Color Violet,Tory Lanez
67,Spin Bout U,Drake & 21 Savage
68,Blind,SZA
69,Love You Better,Future
70,La Bachata,Manuel Turizo
71,I'm Not Here To Make Friends,Sam Smith
72,Nonsense,Sabrina Carpenter
73,No Se Va,Grupo Frontera
74,10:35,Tiesto Featuring Tate McRae
75,Snap,Rosa Linn
76,Shut Up My Moms Calling,Hotel Ugly
77,OMG,NewJeans
78,Love Language,SZA
79,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
80,The Black Seminole.,Lil Yachty
81,You Didn't,Brett Young
82,I Wish You Roses,Kali Uchis
83,La Jumpa,Arcangel & Bad Bunny
84,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
85,Do It Again,NLE Choppa & 2Rare
86,Fin de Semana,Junior H X Oscar Maydon
87,Circo Loco,Drake & 21 Savage
88,That's What Tequila Does,Jason Aldean
89,Back End,Finesse2Tymes
90,Ditto,NewJeans
91,Human,Cody Johnson
92,Tennessee Fan,Morgan Wallen
93,Knight Crawler,Trippie Redd & Juice WRLD
94,California Breeze,Lil Baby
95,Next Thing You Know,Jordan Davis
96,Hey Mor,Ozuna Featuring Feid
97,Gato de Noche,Nengo Flow & Bad Bunny
98,Heart To Heart,Mac DeMarco
99,Never Gonna Not Dance Again,P!nk
100,Dancin' In The Country,Tyler Hubbard
