danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.452,0.181,-20.949,0.029,0.881,0.941,0.0678,0.0847,109.98,0WuuVfq5e2Zg1aaQzrJlxX,576000
0.397,0.985,-1.91,0.0899,0.0162,0.000129,0.108,0.363,164.027,3qqcLmcc1UaohHKAL3RY9Q,285893
0.206,0.887,-4.186,0.168,0.000228,0.00124,0.291,0.232,95.081,47144TkGls0yeVLzXliEa3,222029
0.646,0.279,-3.575,0.0545,0.149,0.915,0.0993,0.715,120.063,3MTLncsF4tzTICc05bM034,147587
0.478,0.335,-13.622,0.0362,0.701,0.000246,0.133,0.0742,114.967,5wn1aRhUaSHStLD0ZcI7Wf,192403
0.688,0.819,-5.728,0.0315,0.0668,0.0,0.14,0.958,107.986,5sCrcqn74sRGARWDwI4llo,155440
0.564,0.415,-7.735,0.0399,0.683,0.317,0.127,0.232,170.057,2sDurGdooRkMxYRGfRvPdn,267478
0.188,0.495,-6.15,0.0379,0.00636,0.0,0.2,0.0811,100.013,6J0ECsNLFFEAl18tTtvB0m,182787
0.316,0.665,-12.414,0.0645,0.00652,0.858,0.0926,0.189,160.137,5kDTfqG687wOsAYto40G2V,242994
0.594,0.304,-15.353,0.029,0.947,0.219,0.0933,0.13,79.994,5afxMT80ZvKcrCeJCV2PXL,152985
0.562,0.63,-10.952,0.29,0.155,0.0133,0.095,0.786,157.971,5AKt3W3OVWidHOD8E9QR6v,195000
0.32,0.2,-12.941,0.0315,0.957,0.897,0.0893,0.025,145.964,5tLOyz4zKn4M0lpMAT58FD,302466
0.0602,0.405,-14.976,0.0483,0.782,0.943,0.162,0.0367,66.45,3BZA5bVZTcOgxhzP3VDbKB,498267
0.68,0.831,-2.397,0.0876,0.474,0.204,0.27,0.963,99.733,3zmY99mQqB0lBifOwBzHHy,147013
0.572,0.472,-9.91,0.0307,0.159,0.27,0.307,0.749,111.756,2xQmDo3CrD1s5npI3bWYqu,158987
0.672,0.381,-13.03,0.0277,0.7,0.243,0.0653,0.946,102.596,7fvOUyRi8q9y4IrQPTIxQ3,210760
0.72,0.583,-8.333,0.0409,0.000766,0.649,0.354,0.403,122.825,46ddej1ibGIgs58H0wakoK,350813
0.649,0.576,-9.404,0.0322,0.116,0.752,0.131,0.049,139.993,1HE9CJekWAofoJpq64Sdr6,226717
0.311,0.582,-10.894,0.0651,0.126,0.00542,0.12,0.578,184.679,09athuEe5kQfC7bV63jmGa,265760
0.358,0.554,-12.927,0.0381,0.354,1.3e-06,0.218,0.419,147.743,5YgCmkSdGukXqK3fJlX4pQ,179173
0.685,0.919,-6.099,0.0546,0.0215,0.916,0.0811,0.175,140.001,6pDFS313jjuoDKq4DeUvOH,377307
0.663,0.755,-8.236,0.0595,0.00685,0.947,0.0844,0.208,134.865,2haFMwFbUyAWBZB5MaESPC,320836
0.709,0.669,-12.63,0.0835,0.412,0.809,0.136,0.176,165.009,5FEdj9bQyPnhDn8rSnsTX9,254364
0.17,0.972,-9.938,0.156,0.774,0.903,0.931,0.0336,87.502,2UtEAqgTa756wA6t417dLv,460587
0.629,0.275,-17.572,0.0606,0.889,0.00747,0.107,0.666,81.98,5CdoLhKBjtDUTnA0EdJCfk,201733
0.627,0.246,-11.41,0.0342,0.788,0.0,0.118,0.52,141.303,5MZYOtR8fcaZoWzweBNdMm,247684
0.634,0.267,-7.396,0.044,0.841,0.0,0.11,0.391,143.514,298xJ2nBaWWS0Je5rtlSxT,166190
0.296,0.174,-22.47,0.033,0.882,0.9,0.156,0.304,98.249,52WVeX5VTMmtI9ZwmPyRSD,225702
0.584,0.406,-8.921,0.0349,0.85,1.02e-05,0.0999,0.28,145.753,1FvOd1pzW9c1Cdq0CWtO7x,211888
0.643,0.436,-12.245,0.0273,0.724,0.459,0.11,0.422,91.485,53iFMaNUXn6Oj8hUIKSO5a,200800
0.456,0.54,-4.593,0.0433,0.327,0.0,0.17,0.77,149.746,0SQmgir2AkvVKa3snPcn2z,140680
0.626,0.0939,-11.02,0.0299,0.593,0.0,0.0944,0.4,139.943,1G9TGafoedKwfqj9KxOTLa,271013
0.103,0.934,-5.82,0.0743,3.18e-05,0.284,0.303,0.232,187.281,6AkbB07TdDuPGUkWPm8bpR,127107
0.382,0.547,-6.417,0.0362,0.0253,0.00127,0.13,0.198,76.25,3vF8qZZNw7RzNmfeShK9B2,226327
0.494,0.909,-5.379,0.0506,0.000292,0.47,0.0858,0.711,154.902,2pBYtm0ySOyhtRlw1P2vsH,186169
0.398,0.756,-7.068,0.0496,0.029,0.0,0.111,0.238,134.926,7hLh6ZRE6A561kKUi6jfre,456677
0.264,0.602,-11.506,0.0471,0.308,0.0,0.118,0.354,160.128,6xnV6VRiMwOTmpccU1CgIs,281418
0.515,0.699,-5.091,0.0386,0.0951,0.0,0.333,0.155,131.971,6a2Ustr9GbIE4UvH0kJOm9,293616
0.521,0.516,-7.456,0.0369,0.723,0.0,0.257,0.569,136.483,3KzgdYUlqV6TOG7JCmx2Wg,172480
0.692,0.533,-7.994,0.0291,0.336,4e-06,0.0946,0.43,95.094,38REAnPExO29JkHn1xJ7TR,134187
0.795,0.385,-13.526,0.329,0.851,5.98e-05,0.234,0.55,109.996,0Hfah746oDkvCS7ySP3k1c,87409
0.562,0.453,-5.685,0.026,0.704,0.0,0.118,0.408,142.191,77mddz5q1ZVQfMbcLHvZIQ,172000
0.869,0.59,-9.452,0.146,0.194,0.000198,0.103,0.34,99.987,6eEHGwlijZ0rUoLvSmYHbd,168419
0.368,0.603,-9.118,0.0305,0.93,0.0002,0.229,0.641,80.093,5babUL0OdP1qxM20jl7fPq,226586
0.913,0.999,-4.811,0.143,0.0353,0.895,0.108,0.113,100.996,7ChhmKjzQKMZ9cLAJ7ROML,233896
0.0644,0.0457,-18.837,0.049,0.978,0.998,0.09,0.0311,184.5,6D1rcabQkvAXp2wp2W8VXF,106107
0.753,0.852,-5.019,0.0636,0.101,6.83e-05,0.148,0.725,130.008,45LhwNzk3R3fqzC8WONvIc,294413
0.291,0.981,-5.911,0.0416,0.00193,0.00657,0.316,0.375,127.613,4OuTWVbZp1KIegWoHWRUYL,438144
0.525,0.823,-12.191,0.0698,0.805,0.818,0.0865,0.963,101.309,0ElWXEHITbCp4LAt5Kpad5,181463
0.746,0.504,-9.765,0.0671,0.0372,0.00702,0.106,0.598,168.063,0tVJmgXdaUPBwe2gGzHHEo,254067
0.636,0.363,-8.902,0.0283,0.799,3.95e-06,0.111,0.14,120.079,4shIYnY3P1FAJZxldDI9JD,296680
0.46,0.00618,-28.121,0.0481,0.994,0.89,0.0896,0.086,67.12,1XJMRdFSgkrmw2cXLJOD0b,293520
0.764,0.868,-6.075,0.0505,0.0459,0.000162,0.0731,0.82,110.007,0eQmKhiwiLinylPpIvQl5C,209947
0.399,0.546,-11.104,0.0402,0.535,0.000296,0.108,0.364,124.145,0FnLKmYfwmaZ0VDHUiOCMe,222267
0.683,0.338,-11.582,0.0365,0.183,0.0,0.0789,0.201,106.553,2qyREjefkCCUoPc32ve7Ob,149026
0.916,0.749,-5.026,0.086,0.0116,0.0001,0.0812,0.611,126.004,3rLgVt8ZzMzVMG3IH06CzC,215640
0.654,0.39,-9.858,0.36,0.688,0.0,0.106,0.552,125.944,6qk3jI8bKCgURI3h0d8zBZ,156084
0.662,0.723,-4.683,0.0762,0.355,0.0,0.103,0.226,145.987,7nLNOyevGxrRJnC5OhGyyc,266501
0.631,0.808,-9.282,0.0385,0.00249,0.417,0.0745,0.29,120.012,1kEdYirmW9IZ4R4QFaPvpE,235859
0.566,0.663,-9.393,0.0383,0.407,1.89e-05,0.165,0.514,80.419,1AJpZtYHY7MD21Tkcg9wlE,263338
0.804,0.314,-10.5,0.0892,0.128,8.64e-05,0.253,0.889,141.149,5vy09xIeMnSBMzSMFORP4G,136170
0.634,0.461,-11.131,0.0354,0.524,0.0,0.368,0.632,159.922,7Kr0us0EtPgxfkTBCpKRwg,268500
0.517,0.7,-7.516,0.0555,0.447,0.716,0.124,0.931,121.288,1IRaxGm2DMUiMpirWAfUqo,214147
0.577,0.249,-14.408,0.0353,0.733,2.48e-05,0.0595,0.799,107.591,4aLnxFrimShp5lMEVMA1cC,270253
0.761,0.626,-12.634,0.0421,0.0172,0.634,0.0879,0.715,124.024,3mNtJ94LS5gTrclSCE9w9r,563867
0.777,0.598,-13.803,0.0412,0.023,0.89,0.106,0.684,100.007,6K8y9WcUbgv0j7RGceHvym,160948
0.5,0.729,-8.277,0.0435,0.388,0.902,0.0847,0.663,115.845,7iXUWrP4u5N9S038vzMCWL,266200
0.676,0.681,-5.355,0.371,0.155,0.00648,0.0827,0.868,109.499,4z24zdPIKCZP6q3XoZlpM9,226938
